"","age_group","is_female","category","n_yes","prop_yes"
"95","[55,60)",0,"Osteo","159",0.0146287606955562
"96","[55,60)",1,"Osteo","682",0.0388825541619156
"97","[60,65)",0,"Osteo","219",0.0193189837685251
"98","[60,65)",1,"Osteo","1228",0.0714493512538547
"99","[65,70)",0,"Osteo","240",0.0222139948167345
"100","[65,70)",1,"Osteo","1995",0.120755402215362
"101","[70,75)",0,"Osteo","263",0.027478842336224
"102","[70,75)",1,"Osteo","2140",0.162762397322787
"103","[75,80)",0,"Osteo","219",0.0356793743890518
"104","[75,80)",1,"Osteo","1434",0.184461023925907
"105","[80,85)",0,"Osteo","134",0.0454391319091217
"106","[80,85)",1,"Osteo","771",0.212279735682819
"107","[85,90)",0,"Osteo","96",0.0749414519906323
"108","[85,90)",1,"Osteo","344",0.243971631205674
"109","[90,95)",0,"Osteo","41",0.100737100737101
"110","[90,95)",1,"Osteo","102",0.255639097744361
"111","[40,45)",0,"Osteoporosis","56",0.00950441276306857
"112","[40,45)",1,"Osteoporosis","100",0.00839771582129661
"113","[45,50)",0,"Osteoporosis","65",0.00963676797627873
"114","[45,50)",1,"Osteoporosis","150",0.0120394895256441
"115","[50,55)",0,"Osteoporosis","106",0.0123112659698026
"116","[50,55)",1,"Osteoporosis","326",0.0216266418999602
"117","[55,60)",0,"Osteoporosis","142",0.0130730988768183
"118","[55,60)",1,"Osteoporosis","649",0.0370306972498003
"119","[60,65)",0,"Osteoporosis","193",0.0170344218887908
"120","[60,65)",1,"Osteoporosis","1177",0.0685937408939915
"121","[65,70)",0,"Osteoporosis","221",0.020462962962963
"122","[65,70)",1,"Osteoporosis","1944",0.117911081458119
"123","[70,75)",0,"Osteoporosis","243",0.025405122843701
"124","[70,75)",1,"Osteoporosis","2070",0.157967032967033
"125","[75,80)",0,"Osteoporosis","196",0.0319895544312061
"126","[75,80)",1,"Osteoporosis","1378",0.178128231644261
"127","[80,85)",0,"Osteoporosis","123",0.0417657045840407
"128","[80,85)",1,"Osteoporosis","751",0.207515888366952
"129","[85,90)",0,"Osteoporosis","83",0.0653543307086614
"130","[85,90)",1,"Osteoporosis","327",0.234240687679083
"131","[90,95)",0,"Osteoporosis","39",0.0962962962962963
"132","[90,95)",1,"Osteoporosis","96",0.242424242424242
"133","[40,45)",0,"PVD","570",0.0938580602667545
"134","[40,45)",1,"PVD","1032",0.0846665025842973
"135","[45,50)",0,"PVD","908",0.128194267965551
"136","[45,50)",1,"PVD","1417",0.109947237740534
"137","[50,55)",0,"PVD","1443",0.157549950867999
"138","[50,55)",1,"PVD","1997",0.127530493645827
"139","[55,60)",0,"PVD","2117",0.180723920095612
"140","[55,60)",1,"PVD","2735",0.149217087675269
"141","[60,65)",0,"PVD","2689",0.216261862634711
"142","[60,65)",1,"PVD","3088",0.171070854800288
"143","[65,70)",0,"PVD","2906",0.243261342708856
"144","[65,70)",1,"PVD","3208",0.185412091087736
"145","[70,75)",1,"PVD","2799",0.203105725273928
"146","[70,75)",0,"PVD","2905",0.270786726323639
"147","[75,80)",1,"PVD","1920",0.23219252630306
"148","[75,80)",0,"PVD","2076",0.296656187482138
"149","[80,85)",1,"PVD","1004",0.258164052455644
"150","[80,85)",0,"PVD","1155",0.336931155192532
"151","[85,90)",1,"PVD","372",0.251691474966171
"152","[85,90)",0,"PVD","428",0.299719887955182
"153","[90,95)",1,"PVD","147",0.328125
"154","[90,95)",0,"PVD","173",0.36344537815126
"155","[40,45)",0,"Peripheral vascular disease","216",0.0364803242695491
"156","[40,45)",1,"Peripheral vascular disease","353",0.0295644891122278
"157","[45,50)",0,"Peripheral vascular disease","303",0.0445391738938703
"158","[45,50)",1,"Peripheral vascular disease","536",0.0427091633466136
"159","[50,55)",0,"Peripheral vascular disease","529",0.0604433272394881
"160","[50,55)",1,"Peripheral vascular disease","760",0.0500592807271769
"161","[55,60)",0,"Peripheral vascular disease","850",0.0763221693454252
"162","[55,60)",1,"Peripheral vascular disease","1115",0.0630014690925528
"163","[60,65)",0,"Peripheral vascular disease","1111",0.0953320748240947
"164","[60,65)",1,"Peripheral vascular disease","1365",0.0787242632216391
"165","[65,70)",0,"Peripheral vascular disease","1317",0.117757510729614
"166","[65,70)",1,"Peripheral vascular disease","1461",0.0883794083842478
"167","[70,75)",1,"Peripheral vascular disease","1336",0.102070440828176
"168","[70,75)",0,"Peripheral vascular disease","1369",0.137463600763129
"169","[75,80)",1,"Peripheral vascular disease","1026",0.131910516842376
"170","[75,80)",0,"Peripheral vascular disease","1114",0.171437365343183
"171","[80,85)",1,"Peripheral vascular disease","554",0.152072467746363
"172","[80,85)",0,"Peripheral vascular disease","635",0.20184361093452
"173","[85,90)",1,"Peripheral vascular disease","226",0.161428571428571
"174","[85,90)",0,"Peripheral vascular disease","257",0.19150521609538
"175","[90,95)",0,"Peripheral vascular disease","88",0.210023866348449
"176","[90,95)",1,"Peripheral vascular disease","93",0.221957040572792
